Arábkovka Thalova
Archangelika lekárska
Astra alpínska
Baza červená
Baza čierna
Baza chabzdová
Bazalka pravá
Betonika lekárska
Bledavka Boucheova
Blen čierny
Bodliak kučeravý
Borievka obyčajná
Borovica čierna
Borovica limbová
Bradáčik vajcovitý
Brest hrabolistý
Brusnica čučoriedková
Brusnica obyčajná
Buk lesný
Cesnak medvedí
Čakanka obyčajná
Ďatelina lúčna
Ďatelina plazivá
Divozel sápovitý
Divozel veľkokvetý
Drieň obyčajný
Dryádka osemlupienková
Dub letný
Dub zimný
Durman obyčajný
Dúška materina
Dúška tymianová
Fenikel obyčajný
Fialka dvojkvetá
Fialka lesná
Fialka roľná
Fialka trojfarebná
Fialka voňavá
Hadovník väčší
Hloh obyčajný
Hluchavka biela
Hluchavka nachová
Hniezdovka hlístová
Horčiak pieprový
Horčica biela
Horec Clusiov
Hrdobarka obyčajná
Hruška nashi
Chmeľ obyčajný
Chochlačka dutá
Ibiš lekársky
Ibiš ružový
Ihlica tŕnitá
Imelo biele
Iskerník karpatský
Jahoda obyčajná
Jarabina vtáčia
Jastrabina lekárska
Jedľa biela
Kapucínka väčšia
Kapusta obyčajná
Kapusta obyčajná karfiolová
Kocúrnik obyčajný
Konopa siata
Konvalinka voňavá
Korunka kockovaná
Kosatec žltý
Kostihoj hľuznatý
Kostihoj lekársky
Kôpor voňavý
Kôprovník štetinolistý
Krasovlas bezbyľový
Krtičník hľuznatý
Kúkoľ poľný
Kýchavica biela
Ľan siaty
Ľanolistník bezlistencový
Leknica žltá
Lieska obyčajná
Lipa malolistá
Lipa veľkolistá
Lipkavec pravý
Lomikameň zrnitý
Lucerna siata
Ľuľkovec zlomocný
Ľuľok sladkohorký
Ľuľok zemiakový
Luskáč lekársky
Mak vlčí
Malina (plod)
Mäta pieporná
Mrkva obyčajná
Mrlík voňavý
Mydlica lekárska
Nevädza poľná
Očianka Rostkovova
Ostrôžka poľná
Palina pravá
Pálka širokolistá
Pamajorán obyčajný
Papradka samičia
Pestrec mariánsky
Plešivec dvojdomý
Podbeľ liečivý
Pŕhľava dvojdomá
Prútnatec metlovitý
Prvosienka vyššia
Púpava lekárska
Pýr plazivý
Ranostaj pestrý
Rasca lúčna
Rašelinník močiarny
Rebríček obyčajný
Repík lekársky
Repka olejná
Rešetliak prečisťujúci
Ríbezľa biela
Ríbezľa čierna
Rozchodník prudký
Rozmarín lekársky
Rumanček kamilkový
Ruža ovisnutá
Saturejka záhradná
Senovka grécka
Skalnica strechová
Skopólia kranská
Skorocel kopijovitý
Slnečnica hľuznatá
Slnečnica ročná
Smohla lekárska
Smrek obyčajný
Smrekovec opadavý
Snežienka jarná
Sofora japonská
Srdcovník obyčajný
Stavikrv vtáčí
Šafran spišský
Tekvica obyčajná
Tekvica veľkoplodá
Tis obyčajný
Valeriána lekárska
Veronika lekárska
Vika vtáčia
Vranovec štvorlistý
Vŕba biela
Vres
Záružlie močiarne
Zemežlč menšia
Zimoľub okolíkatý
Zimozeleň menšia
Zlatobyľ obyčajná
Zvonček hrubokoreňový
Železník lekársky
Žindava európska
